study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	instrument_model	library_source	library_selection	first_public	study_alias	fastq_md5	fastq_ftp	submitted_ftp	sample_title
PRJEB3365	SAMEA1573390	ERS185339	ERX162495	ERR187498	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	e82f2c7a78bbb02aa932b818b9fe0a17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187498/ERR187498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20819.3.MI_120120_6_1.fastq.gz	NA20819
PRJEB3365	SAMEA1573311	ERS185079	ERX162235	ERR187499	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	d49f83ff1fc7dba24d16cd740002a796	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187499/ERR187499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00189.1.MI_120104_3_1.fastq.gz	HG00189
PRJEB3365	SAMEA1573156	ERS185242	ERX162398	ERR187500	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	9199f4e226893cb9fe1f8660f9b9f527	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187500/ERR187500.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20504.1.MI_120104_2_1.fastq.gz	NA20504
PRJEB3365	SAMEA1573184	ERS185244	ERX162400	ERR187501	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	5876e4ec27dc0b23c4916e19a1f96678	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187501/ERR187501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA12890.1.MI_120104_4_1.fastq.gz	NA12890
PRJEB3365	SAMEA1573221	ERS185380	ERX162536	ERR187502	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	1735138bad945ddbb9549c4d112ceb50	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187502/ERR187502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20582.4.MI_120208_5_1.fastq.gz	NA20582
PRJEB3365	SAMEA1573379	ERS185217	ERX162373	ERR187503	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	8486ea3b97d75598e76101f557307b1f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187503/ERR187503.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20514.1.MI_120104_2_1.fastq.gz	NA20514
PRJEB3365	SAMEA1573193	ERS185048	ERX162204	ERR187504	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	0f10020234f673f9f4f5074b904312e4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187504/ERR187504.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20505.1.MI_120104_1_1.fastq.gz	NA20505
PRJEB3365	SAMEA1573269	ERS185098	ERX162254	ERR187505	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	2e56e45473e65b9dcefa0b888a722d67	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187505/ERR187505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00345.1.MI_120104_3_1.fastq.gz	HG00345
PRJEB3365	SAMEA1573096	ERS185252	ERX162408	ERR187506	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	9efa747be7dfa4880d8d5c010320abb2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187506/ERR187506.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00344.4.MI_120208_5_1.fastq.gz	HG00344
PRJEB3365	SAMEA1573249	ERS185138	ERX162294	ERR187507	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	5c0c8796fdafdb78cc95203fa9344932	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187507/ERR187507.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA11893.7.MI_120224_2_1.fastq.gz	NA11893
PRJEB3365	SAMEA1573420	ERS185360	ERX162516	ERR187508	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	80be239a457f291ea10436e99b23f8c7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187508/ERR187508.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00276.2.MI_120126_2_1.fastq.gz	HG00276
PRJEB3365	SAMEA1573389	ERS185417	ERX162573	ERR187509	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	4aad4b5161aa478fdda8c1ba69cb5919	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187509/ERR187509.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00272.7.MI_120224_3_1.fastq.gz	HG00272
PRJEB3365	SAMEA1573498	ERS185061	ERX162217	ERR187510	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	f725c2932ff2452a3e352ffc2e7688e3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187510/ERR187510.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA19099.2.MI_120126_4_1.fastq.gz	NA19099
PRJEB3365	SAMEA1573187	ERS185047	ERX162203	ERR187511	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	f3cdaa1a08f55b29a13d75dbbf5c8272	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187511/ERR187511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00378.5.MI_120327_5_1.fastq.gz	HG00378
PRJEB3365	SAMEA1573485	ERS185222	ERX162378	ERR187512	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	c0df3f18751b7c0425d5b67c68f99184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187512/ERR187512.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00375.4.MI_120524_1_1.fastq.gz	HG00375
PRJEB3365	SAMEA1573190	ERS185320	ERX162476	ERR187513	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	6e20cb451a9e01c197ec2318eab64e56	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187513/ERR187513.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20520.3.MI_120120_3_1.fastq.gz	NA20520
PRJEB3365	SAMEA1573487	ERS185143	ERX162299	ERR187514	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	eea8f63f4279fcd01d2165dbadd009e9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187514/ERR187514.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA12763.2.MI_120126_8_1.fastq.gz	NA12763
PRJEB3365	SAMEA1573484	ERS185237	ERX162393	ERR187515	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	6ca8aa655d31021951fc13c9ccca6d18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187515/ERR187515.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00236.5.MI_120327_5_1.fastq.gz	HG00236
PRJEB3365	SAMEA1573387	ERS185459	ERX162615	ERR187516	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	45dca2ae5d1182a746edba595978cb1d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187516/ERR187516.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20828.2.MI_120126_8_1.fastq.gz	NA20828
PRJEB3365	SAMEA1573274	ERS185180	ERX162336	ERR187517	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	8ecc21e202bc87f0e8ef2eb2b30c8539	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187517/ERR187517.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA07357.2.MI_120126_7_1.fastq.gz	NA07357
PRJEB3365	SAMEA1573331	ERS185288	ERX162444	ERR187518	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	3814e1af989be0bdd6d20083f1891845	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187518/ERR187518.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA12762.4.MI_120208_5_1.fastq.gz	NA12762
PRJEB3365	SAMEA1573394	ERS185089	ERX162245	ERR187519	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	1808548cc48cb3ccad32a752be38091f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187519/ERR187519.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00178.4.MI_120524_3_1.fastq.gz	HG00178
PRJEB3365	SAMEA1573386	ERS185302	ERX162458	ERR187520	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	58c4ec7bb75690c1a7591773c5d6f21e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187520/ERR187520.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00371.1.MI_120104_1_1.fastq.gz	HG00371
PRJEB3365	SAMEA1573138	ERS185144	ERX162300	ERR187521	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	40c12367636eb7e41da161efe9305ff1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187521/ERR187521.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20534.2.MI_120126_2_1.fastq.gz	NA20534
PRJEB3365	SAMEA1573327	ERS185051	ERX162207	ERR187522	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	463713cb91a451a1fc4e4fdc80c9f823	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187522/ERR187522.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA11920.2.MI_120126_6_1.fastq.gz	NA11920
PRJEB3365	SAMEA1573470	ERS185037	ERX162193	ERR187523	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	473cf6d74d34fcc9f37ee3200aaea579	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187523/ERR187523.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA19095.3.MI_120120_6_1.fastq.gz	NA19095
PRJEB3365	SAMEA1573200	ERS185084	ERX162240	ERR187524	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	1f17a87ab495efbe442021a5a4fb5665	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187524/ERR187524.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00361.7.MI_120224_3_1.fastq.gz	HG00361
PRJEB3365	SAMEA1573477	ERS185276	ERX162432	ERR187525	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	11d87003b54a7fa65d28064768546be4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187525/ERR187525.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00096.1.MI_120104_4_1.fastq.gz	HG00096
PRJEB3365	SAMEA1573350	ERS185210	ERX162366	ERR187526	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	90ff5642f625067df0b37f3ecd7a55e3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187526/ERR187526.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA19107.2.MI_120126_6_1.fastq.gz	NA19107
PRJEB3365	SAMEA1573148	ERS185437	ERX162593	ERR187527	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	e243dacfe8e950c8c2d4300cf564a08e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187527/ERR187527.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA18508.1.MI_120104_2_1.fastq.gz	NA18508
PRJEB3365	SAMEA1573179	ERS185049	ERX162205	ERR187528	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	57539669fdc19d7c6befcbaf68f70072	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187528/ERR187528.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA18907.6.MI_120309_1_1.fastq.gz	NA18907
PRJEB3365	SAMEA1573524	ERS185399	ERX162555	ERR187529	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	d0c124af9ad6f484d58f494fab18720e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187529/ERR187529.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00360.3.MI_120120_1_1.fastq.gz	HG00360
PRJEB3365	SAMEA1573228	ERS185100	ERX162256	ERR187530	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	0d5a5ed85eba1128f57666ec8f1c6942	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187530/ERR187530.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA18511.7.MI_120224_2_1.fastq.gz	NA18511
PRJEB3365	SAMEA1573515	ERS185466	ERX162622	ERR187531	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	eed04c90fa104ce2a944ce180f6aad2f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187531/ERR187531.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00258.1.MI_120104_1_1.fastq.gz	HG00258
PRJEB3365	SAMEA1573497	ERS185450	ERX162606	ERR187532	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	f22de87c2a883b3cf12a0a3337c3c809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187532/ERR187532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20812.2.MI_120126_7_1.fastq.gz	NA20812
PRJEB3365	SAMEA1573543	ERS185168	ERX162324	ERR187533	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	f13ee7b45c24c73d4a3e02e3e4961d30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187533/ERR187533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00353.1.MI_120104_3_1.fastq.gz	HG00353
PRJEB3365	SAMEA1573185	ERS185085	ERX162241	ERR187534	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	fea4c22dd9a4108075230a61d70bfffc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187534/ERR187534.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00101.1.MI_120104_4_1.fastq.gz	HG00101
PRJEB3365	SAMEA1573323	ERS185316	ERX162472	ERR187535	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	db8f9f6b7fe1279c9c9bb536bbc8d6ed	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187535/ERR187535.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA19200.2.MI_120126_5_1.fastq.gz	NA19200
PRJEB3365	SAMEA1573266	ERS185348	ERX162504	ERR187536	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	5551370968138da7a68f6edbfbaa95b2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187536/ERR187536.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA19175.4.MI_120524_3_1.fastq.gz	NA19175
PRJEB3365	SAMEA1573363	ERS185414	ERX162570	ERR187537	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	f5d86b9873d82086700142fecde3b900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187537/ERR187537.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00379.5.MI_120327_3_1.fastq.gz	HG00379
PRJEB3365	SAMEA1573534	ERS185470	ERX162626	ERR187538	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	6ae4f0d64b91f20a66a2c6ad87fd733c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187538/ERR187538.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA06986.5.MI_120327_5_1.fastq.gz	NA06986
PRJEB3365	SAMEA1573129	ERS185330	ERX162486	ERR187539	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	e254d96deca59a46642f1855c115da6c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187539/ERR187539.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA12814.7.MI_120224_2_1.fastq.gz	NA12814
PRJEB3365	SAMEA1573354	ERS185111	ERX162267	ERR187540	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	f2fff409d1d8f4a0ed57659e7b7a2f03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187540/ERR187540.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00145.6.MI_120217_1_1.fastq.gz	HG00145
PRJEB3365	SAMEA1573536	ERS185224	ERX162380	ERR187541	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	589c47f9b9854ccf351e9b7fcf05fa75	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187541/ERR187541.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20803.7.MI_120224_2_1.fastq.gz	NA20803
PRJEB3365	SAMEA1573089	ERS185245	ERX162401	ERR187542	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	8b7d40ed6c1e0822f6356fed11decd67	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187542/ERR187542.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00171.3.MI_120120_1_1.fastq.gz	HG00171
PRJEB3365	SAMEA1573400	ERS185298	ERX162454	ERR187543	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	f42652f414360b5bed2db740344388fb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187543/ERR187543.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA12827.3.MI_120120_6_1.fastq.gz	NA12827
PRJEB3365	SAMEA1573106	ERS185186	ERX162342	ERR187544	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	8c71b824a8d48d38729d60d3d13661aa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187544/ERR187544.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20809.6.MI_120217_1_1.fastq.gz	NA20809
PRJEB3365	SAMEA1573496	ERS185366	ERX162522	ERR187545	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	82b664231218c4f8aef3f4bb0291d876	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187545/ERR187545.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA19247.3.MI_120120_2_1.fastq.gz	NA19247
PRJEB3365	SAMEA1573251	ERS185042	ERX162198	ERR187546	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	2ee8be3ad3f05525cec3b51d2400c7ca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187546/ERR187546.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00330.1.MI_120104_3_1.fastq.gz	HG00330
PRJEB3365	SAMEA1573495	ERS185279	ERX162435	ERR187547	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	a4d3ccd218e9ff2b0285b76122507df1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187547/ERR187547.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00235.1.MI_120104_2_1.fastq.gz	HG00235
PRJEB3365	SAMEA1573136	ERS185423	ERX162579	ERR187548	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	574a9f7ae21f8ee7a833966b621db31c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187548/ERR187548.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/HG00143.7.MI_120224_2_1.fastq.gz	HG00143
PRJEB3365	SAMEA1573446	ERS185362	ERX162518	ERR187549	9606	Illumina HiSeq 2000	TRANSCRIPTOMIC	cDNA	2012-11-06	E-GEUV-2	98f32392fa2f8ea2b01abcca9441deaa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR187/ERR187549/ERR187549.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169754/fastq/NA20508.1.MI_120104_1_1.fastq.gz	NA20508
