id	nloci	ann	ERS185082	ERS185252	ERS185068	ERS185036	ERS185470	ERS185473	ERS185400	ERS185403	ERS185125	ERS185102
21	0	gene miRNA|gene::MIRLET7B,MIRLET7BHG,MIRLET7BHG;miRNA::hsa-let-7b-3p	55	0	31	4	0	16	3	6	3	0
22	0	repeat gene|repeat::SINE;gene::SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10,SEPT10	6	231	415	0	0	0	0	0	0	0
23	0	repeat gene|repeat::LINE;gene::UBXN2B,UBXN2B	403	58	73	643	81	14	149	29	207	86
24	0	ncrna gene|ncrna::ACA8;gene::TAF1D,SNORA8,TAF1D	8	14	74	4	0	0	0	0	0	19
25	0	gene|gene::LOC100507412,RNA45SN5,RNA45SN1,RNA45SN4,RNA45SN2,RNA45SN3	28	18	13	13	10	3	0	0	0	57
26	0	gene|gene::SHISA9	8	0	3	815	0	0	11	0	102	0
27	0	gene|gene::RPL35;gene::RPL35	16	0	0	10	0	0	3	0	0	47
28	0	gene miRNA|gene::MIR942,TTF2;miRNA::hsa-miR-942-5p,hsa-miR-942-3p	218	88	102	103	111	43	11	37	55	73
29	0	repeat gene|repeat::scRNA;gene::HEATR3,HEATR3,HEATR3,HEATR3,HEATR3,HEATR3	66	46	152	89	0	0	0	4	42	21
30	0	gene miRNA|gene::MIR3176,CAPN15;miRNA::hsa-miR-3176	61	0	20	19	7	0	12	13	33	31
31	0	gene|gene::ACTB	38	0	3	10	0	0	0	0	0	11
32	0	|	24	62	303	0	0	0	5	0	6	8
33	0	repeat|repeat::scRNA	24059	5025	10340	2863	913	1051	955	2667	2394	2369
34	0	ncrna gene|ncrna::ACA18;gene::SNORA18,TAF1D,TAF1D	36	23	16	16	9	0	7	0	0	58
35	0	gene miRNA|gene::MIR200C,MIR200CHG;miRNA::hsa-miR-200c-3p	96	90	233	44	18	34	35	28	29	46
36	0	gene|gene::TPD52,TPD52,TPD52,TPD52,TPD52,TPD52,TPD52,TPD52,TPD52,TPD52,TPD52,TPD52	113	15	39	21	3	12	29	10	20	18
37	0	gene|gene::ACTG1,ACTG1,ACTG1	25	0	3	10	0	0	0	0	0	86
38	0	gene|gene::LINC00891,BCYRN1,LOC100132741;gene::MS4A15,MS4A15,MS4A15,MS4A15;gene::MS4A15,MS4A15,MS4A15,MS4A15	4525	818	2583	1411	607	373	57	1141	386	1502
39	0	tRNA repeat gene|tRNA::tRNA-Trp-CCA-1-1;repeat::tRNA;gene::LINC00324	45	11	16	62	19	19	7	40	3	17
40	0	gene|gene::SNORD84,DDX39B,DDX39B,ATP6V1G2-DDX39B,DDX39B;gene::DDX39B,ATP6V1G2-DDX39B,DDX39B,SNORD84,DDX39B;gene::SNORD84,DDX39B,DDX39B,ATP6V1G2-DDX39B,DDX39B;gene::SNORD84,DDX39B,DDX39B,ATP6V1G2-DDX39B,DDX39B;gene::DDX39B,ATP6V1G2-DDX39B,DDX39B,SNORD84,DDX39B;ncrna::U84;gene::SNORD84,DDX39B,DDX39B,ATP6V1G2-DDX39B,DDX39B;ncrna::U84;gene::SNORD84,DDX39B,DDX39B,ATP6V1G2-DDX39B,DDX39B;ncrna::U84	44	38	103	13	0	0	3	0	3	22
41	0	tRNA repeat|tRNA::tRNA-Ile-TAT-2-3;repeat::tRNA	84	205	349	217	43	104	36	94	52	96
42	0	tRNA repeat|tRNA::tRNA-Ile-TAT-2-1;repeat::tRNA	57	33	91	118	25	16	0	41	47	45
43	0	ncrna gene|ncrna::U46;gene::SNORD46,RPS8	517	1065	978	144	258	149	32	171	113	251
44	0	gene miRNA|gene::CCDC186,CCDC186,MIR2110,CCDC186,CCDC186;miRNA::hsa-miR-2110	33	20	39	12	3	4	6	9	7	7
45	0	gene|gene::ACTB	88	0	80	33	0	0	13	0	0	372
46	0	gene miRNA|gene::MIR331;miRNA::hsa-miR-331-5p,hsa-miR-331-3p	423	1503	2274	109	93	124	64	112	79	135
47	0	ncrna gene|ncrna::U96a;gene::RACK1,SNORD96A	826	476	633	273	96	55	97	40	45	512
48	0	gene miRNA|gene::MIR93,MCM7,MCM7,MCM7;miRNA::hsa-miR-93-5p,hsa-miR-93-3p	5460	4410	7661	2238	1709	1710	1916	1704	2047	1565
49	0	gene|gene::THAP9-AS1,THAP9-AS1,THAP9-AS1,SEC31A,SNORD143	29	0	16	12	0	0	3	0	0	24
50	0	ncrna gene|ncrna::U22;gene::SNORD22,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1	295	1233	1959	139	71	46	37	68	56	183
51	0	gene|gene::HIST2H2AA3,HIST2H2AA4;gene::HIST2H2AA3,HIST2H2AA4	51	10	25	25	4	14	0	15	5	17
52	0	|	1278	314	576	884	302	376	327	265	309	1456
53	0	|	20	4	7	64	12	6	0	0	9	37
54	0	gene|gene::SNORD141A,SNORD141B;gene::EEF1A1,SNORD141A,SNORD141B;gene::EEF1A1,SNORD141A,SNORD141B	26	0	6	0	0	0	0	0	0	39
55	0	ncrna gene|ncrna::U79;gene::SNORD79,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5	29	38	72	13	0	0	0	0	4	19
56	0	gene|gene::RPS16,RPS16	14	0	0	6	0	0	7	0	0	66
57	0	ncrna gene|ncrna::U77;gene::GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,SNORD77,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5	626	674	648	288	131	82	297	79	94	293
58	0	gene miRNA|gene::MIRLET7D,MIRLET7DHG,MIRLET7DHG;miRNA::hsa-let-7d-3p	818	297	679	563	258	249	157	239	202	334
59	0	|	96	0	19	17	0	0	33	0	0	185
60	0	ncrna gene|ncrna::ACA24;gene::SNHG8,SNHG8,SNHG8,SNORA24;ncrna::ACA24;gene::SNORA24B,PARP16,PARP16,PARP16;ncrna::ACA24;gene::SNORA24B,PARP16,PARP16,PARP16	57	86	182	0	7	6	27	7	7	40
61	0	gene|gene::HLA-A,HLA-A,HLA-F,HLA-F;gene::HLA-A,HLA-A;gene::HLA-A,HLA-A;gene::HLA-A,HLA-A;gene::HLA-A,HLA-A;gene::HLA-A,HLA-A;gene::HLA-A,HLA-A;gene::HLA-A,HLA-A	6	0	3	12	0	0	3	0	0	26
62	0	repeat|repeat::LTR	704	637	1233	648	606	343	392	449	237	582
63	0	gene|gene::ACTB	7	3	16	0	0	0	0	0	0	13
64	0	ncrna gene|ncrna::U36C;gene::SNORD36C,RPL7A	58	42	69	17	6	3	20	0	12	42
65	0	ncrna gene|ncrna::U80;gene::SNORD80,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5	647	444	849	368	223	83	52	76	92	256
66	0	ncrna gene|ncrna::U34;gene::RPL13A,RPL13A,RPL13A,RPL13AP5,SNORD34	310	266	423	53	60	20	36	16	17	255
67	0	gene miRNA|gene::MIR301A,SKA2,SKA2,SKA2;miRNA::hsa-miR-301a-3p,hsa-miR-301a-5p	199	361	210	68	216	155	118	118	181	360
68	0	ncrna gene|ncrna::E2;gene::RPSA,RPSA,SNORA62	28	18	16	21	3	0	0	0	3	58
69	0	gene|gene::MIR877,ABCF1,ABCF1;gene::MIR877,ABCF1,ABCF1;miRNA::hsa-miR-877-5p;gene::MIR877,ABCF1,ABCF1;miRNA::hsa-miR-877-5p;gene::ABCF1,MIR877,ABCF1;miRNA::hsa-miR-877-5p;gene::MIR877,ABCF1,ABCF1;miRNA::hsa-miR-877-5p;gene::MIR877,ABCF1,ABCF1;miRNA::hsa-miR-877-5p;gene::ABCF1,ABCF1,MIR877;miRNA::hsa-miR-877-5p	108	88	136	128	28	43	31	55	33	140
70	0	gene miRNA|gene::MIR532,CLCN5,CLCN5,CLCN5;miRNA::hsa-miR-532-5p,hsa-miR-532-3p	1394	787	992	519	306	383	160	338	351	486
71	0	repeat gene|repeat::SINE;gene::MMP21	681	10	33	27	24	17	27	23	23	21
72	0	gene miRNA|gene::MIR197;miRNA::hsa-miR-197-3p,hsa-miR-197-5p	945	562	1138	515	254	272	163	251	249	724
73	0	ncrna gene|ncrna::U51;gene::SNORD51,EEF1B2,EEF1B2,EEF1B2	160	97	88	49	39	34	24	35	33	17
74	0	ncrna repeat gene|ncrna::U17a;repeat::snRNA;gene::RCC1,SNHG3,SNHG3,RCC1,RCC1	72	63	168	139	18	32	16	7	8	45
75	0	ncrna repeat gene|ncrna::U17b;repeat::snRNA;gene::RCC1,SNORA73B,SNHG3,SNHG3,RCC1,RCC1	46	39	73	18	17	0	3	0	0	113
76	0	ncrna gene|ncrna::U43;gene::SNORD43,RPL3,RPL3	1565	1133	1182	557	428	410	191	391	308	582
77	0	ncrna gene|ncrna::ACA26;gene::SCARNA4,KHDC4	23	7	3	4	0	0	3	0	0	33
78	0	gene|gene::LDHA,LDHA,LDHA,LDHA,LDHA,LDHA	35	0	16	15	0	0	3	0	0	64
79	0	ncrna gene|ncrna::U19;gene::SNHG4,SNHG4,SNORA74A,MATR3,MATR3,MATR3	722	156	254	288	163	113	158	136	139	174
80	0	tRNA repeat|tRNA::tRNA-Ser-TGA-1-1;repeat::tRNA	4595	3099	4730	1356	634	1100	376	923	1655	580
81	0	gene miRNA|gene::LOC284454,MIR24-2;miRNA::hsa-miR-24-2-5p,hsa-miR-24-3p	982	1004	1241	646	541	1097	130	713	587	504
82	0	ncrna gene|ncrna::ACA31;gene::SNORA31,TPT1,TPT1,TPT1	6770	152	343	217	125	309	712	39	487	3048
83	0	ncrna miRNA gene|ncrna::HBI-61;miRNA::hsa-miR-1248;gene::MIR1248,SNORA81,EIF4A2	8	142	6	3	20	0	4	4	0	36
84	0	gene|gene::LOC100507412,RNA45SN5,RNA45SN1,RNA45SN4,RNA45SN2,RNA45SN3;gene::LOC100507412,RNA45SN5,RNA45SN1,RNA45SN4,RNA45SN2,RNA45SN3	83	18	64	28	15	14	10	18	27	84
85	0	ncrna gene|ncrna::U35B;gene::SNORD35B,RPS11	16	9	20	6	3	3	0	0	0	17
86	0	gene|gene::RPL34,RPL34,RPL34,RPL34,RPL34,RPL34	818	199	242	317	146	175	212	219	157	153
87	0	gene repeat|gene::KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C;gene::ACTB;repeat::Simple_repeat;gene::ACTB;repeat::Simple_repeat	9	0	19	9	0	0	0	3	3	59
88	0	ncrna gene|ncrna::U105;gene::PPAN,SNORD105,PPAN,PPAN,PPAN,PPAN-P2RY11,PPAN-P2RY11	286	184	121	189	216	23	120	47	28	219
89	0	ncrna gene|ncrna::U23;gene::SNORA75,NCL	90	94	137	11	8	13	3	17	3	14
90	0	|	38	0	4	6	0	0	0	0	0	109
91	0	repeat gene|repeat::Low_complexity;gene::LOC100507412,RNA45SN5,RNA45SN1,RNA45SN4,RNA45SN2,RNA45SN3;repeat::Low_complexity;gene::LOC100507412,RNA45SN5,RNA45SN1,RNA45SN4,RNA45SN2,RNA45SN3;repeat::Low_complexity;gene::LOC100507412,RNA45SN5,RNA45SN1,RNA45SN4,RNA45SN2,RNA45SN3	96	0	22	28	4	0	9	0	0	215
92	0	gene miRNA|gene::MIR33A,SREBF2,SREBF2;miRNA::hsa-miR-33a-5p,hsa-miR-33a-3p	33	133	137	16	18	10	0	11	24	27
93	0	tRNA repeat|tRNA::tRNA-Thr-AGT-5-1;repeat::tRNA	196	329	202	159	38	119	6	79	143	18
94	0	tRNA repeat gene|repeat::tRNA;gene::LINC00533;tRNA::tRNA-Thr-CGT-3-1;repeat::tRNA;gene::LINC00533	431	104	459	145	80	116	82	101	112	112
95	0	tRNA repeat|tRNA::tRNA-Thr-AGT-1-3;repeat::tRNA	936	1010	1585	258	214	264	275	262	289	283
96	0	tRNA repeat|tRNA::tRNA-Thr-AGT-1-1;repeat::tRNA	300	192	616	87	50	47	0	89	51	129
97	0	ncrna gene|ncrna::ACA3;gene::SNORA3A,RPL27A	48	35	39	33	13	25	0	8	0	20
98	0	|	200	236	122	595	130	120	51	55	69	474
99	0	gene|gene::RPL7A;gene::SMOC1,SMOC1	18	0	0	0	0	0	0	0	0	37
100	0	gene|gene::RPL41,RPL41;gene::IL6ST,IL6ST,IL6ST,IL6ST;gene::DGKI,DGKI,DGKI,DGKI;gene::LOC107984974,LOC107984974,LOC107984974;gene::RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2;gene::RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2,RBFOX2;gene::LOC643339	56	3	19	17	3	0	8	0	0	113
101	0	gene|gene::RPL4	9	0	0	3	0	0	3	0	0	32
102	0	ncrna gene|ncrna::HBII-55;gene::SNORD110,NOP56,NOP56,NOP56	889	477	1013	214	93	87	144	96	62	292
103	0	ncrna gene|ncrna::U20;gene::SNORD20,NCL	2941	777	1462	1067	399	306	911	397	237	1695
104	0	|	27	0	0	10	3	0	20	4	0	24
105	0	gene miRNA|gene::MIR143,CARMN,CARMN;miRNA::hsa-miR-143-3p	530	162	43	993	28	143	24	1258	111	1537
106	0	ncrna gene|ncrna::U16;gene::SNORD16,RPL4	110	84	226	34	8	13	49	4	3	78
107	0	ncrna gene|ncrna::U31;gene::SNORD31,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1,SNHG1	3061	560	634	1234	565	792	931	663	626	687
108	0	|	14	42	57	0	0	0	0	0	0	0
109	0	gene|gene::KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C,KDM4C;gene::ACTB	20	0	31	11	0	0	3	0	0	112
110	0	|	14	0	9	3	0	0	3	0	0	46
111	0	gene miRNA|gene::FBXL18,FBXL18,MIR589;miRNA::hsa-miR-589-5p,hsa-miR-589-3p	677	356	460	329	299	311	163	203	451	238
112	0	gene|gene::SREBF2,SREBF2	66	54	85	15	18	9	14	8	20	15
113	0	ncrna gene|ncrna::ACA24;gene::SNORA24,SNHG8,SNHG8,SNHG8	90	69	93	41	17	0	28	7	8	60
114	0	gene miRNA|gene::MIR335,MEST,MEST,MEST,MEST,MEST,MEST;miRNA::hsa-miR-335-5p,hsa-miR-335-3p	7269	72	251	43	123	38	168	78	4	33
115	0	ncrna gene|ncrna::U63;gene::SNORD63,HSPA9	101	128	236	56	26	15	23	26	9	13
116	0	gene miRNA|gene::MIR18B;miRNA::hsa-miR-18b-5p,hsa-miR-18b-3p	13	6	76	3	0	0	3	4	0	0
117	0	ncrna gene|ncrna::SNORD127;gene::SNORD127,PRPF39	19	89	79	7	11	3	3	4	0	27
118	0	ncrna gene|ncrna::U60;gene::SNHG19,SNORD60	910	2624	3404	215	240	126	120	138	184	449
119	0	gene miRNA|gene::SNORD138,COX7C;miRNA::hsa-miR-3607-5p,hsa-miR-3607-3p	217	105	137	69	27	23	57	43	24	29
120	0	gene miRNA|gene::MIR629,TLE3,TLE3,TLE3,TLE3,TLE3,TLE3,TLE3;miRNA::hsa-miR-629-5p,hsa-miR-629-3p	218	132	138	137	86	63	13	82	65	48
121	0	|	39	7	0	16	0	3	3	0	3	213
122	0	|	23	0	3	8	0	0	3	3	0	31
123	0	ncrna gene|ncrna::HBI-100;gene::COP1,SCARNA3,COP1,COP1	206	55	46	47	36	25	3	69	24	48
124	0	gene|gene::ACTB	7	0	20	3	0	0	3	0	0	91
125	0	ncrna gene|ncrna::ACA61;gene::SNORA61,SNHG12,SNHG12,SNHG12,SNHG12,SNHG12,SNHG12,SNHG12,SNHG12	46	19	39	32	4	4	7	0	0	30
126	0	gene|gene::LINC01715,RNU11	144	434	1536	110	55	36	20	54	35	168
127	0	gene miRNA|gene::MIRLET7I;miRNA::hsa-let-7i-3p	316	51	95	148	19	59	13	123	35	42
128	0	repeat gene|repeat::SINE;gene::GON4L,GON4L,GON4L	229	110	291	63	34	22	29	28	58	50
129	0	|	200	0	43	29	3	0	22	0	0	559
130	0	gene|gene::RPPH1	67	22	26	19	9	0	0	0	0	65
131	0	ncrna gene|ncrna::HBII-85-8;gene::SNORD116-8,SNHG14;ncrna::HBII-85-9;gene::SNORD116-3,SNORD116-9,SNHG14;ncrna::HBII-85-3;gene::SNORD116-3,SNORD116-9,SNHG14	52	116	165	21	0	27	0	0	4	18
132	0	ncrna gene|ncrna::HBII-85-16;gene::SNORD116-16,SNHG14;ncrna::HBII-85-17;gene::SNORD116-19,SNORD116-17,SNHG14;ncrna::HBII-85-18;gene::SNORD116-18,SNHG14;ncrna::HBII-85-19;gene::SNORD116-19,SNORD116-17,SNHG14;ncrna::HBII-85-21;gene::SNHG14,SNORD116-21;ncrna::HBII-85-22;gene::SNORD116-22,SNHG14	93	68	46	51	8	19	55	7	16	80
133	0	repeat miRNA gene|repeat::LINE;miRNA::hsa-miR-374a-5p,hsa-miR-374a-3p;gene::FTX,MIR374A	224	114	93	64	78	48	90	83	81	143
134	0	ncrna gene|ncrna::U65;gene::SNORA65,RPL12	50	11	41	51	0	8	8	10	6	93
135	0	tRNA repeat|tRNA::tRNA-Asn-GTT-12-1;repeat::tRNA	25	24	50	7	14	15	0	42	37	21
136	0	tRNA repeat gene|tRNA::tRNA-Asn-GTT-8-1;repeat::tRNA;gene::LOC101929798	0	0	20	3	7	10	0	0	12	15
137	0	|	70	0	35	24	0	0	19	0	0	550
138	0	ncrna gene|ncrna::snR38B;gene::SNHG16,SNHG16,SNHG16,SNORD1B,SNHG16	415	133	146	200	119	229	95	156	166	155
139	0	tRNA repeat|tRNA::tRNA-Pro-TGG-3-5;repeat::tRNA;tRNA::tRNA-Pro-TGG-3-2;repeat::tRNA;tRNA::tRNA-Pro-TGG-3-4;repeat::tRNA;tRNA::tRNA-Pro-AGG-2-4;repeat::tRNA;tRNA::tRNA-Pro-TGG-3-1;repeat::tRNA;tRNA::tRNA-Pro-TGG-3-3;repeat::tRNA	18162	2825	9728	5151	3797	2886	1414	4899	3000	4497
140	0	repeat gene|repeat::LTR,LTR;gene::GRM5,GRM5;repeat::LTR;gene::LOC440040	864	45	155	535	403	212	20	386	199	332
141	0	repeat gene|repeat::LTR,LTR;gene::PPARA,PPARA	268375	17322	113555	118469	35732	23637	3444	81807	31519	101298
142	0	tRNA repeat|tRNA::tRNA-Pro-TGG-2-1;repeat::tRNA	503	52	66	66	68	42	15	98	47	83
143	0	gene|gene::MALAT1,MALAT1,MALAT1,TALAM1	14	0	12	3	0	0	3	0	0	16
144	0	|	159	7	58	56	14	16	45	0	6	678
145	0	gene miRNA|gene::MIR7706,AKAP13,AKAP13;miRNA::hsa-miR-7706	1434	203	320	475	171	409	335	509	245	376
146	0	ncrna gene|ncrna::E3;gene::SNORA63,EIF4A2	6	35	78	3	0	0	0	0	0	10
147	0	tRNA repeat|tRNA::tRNA-Arg-ACG-2-1;repeat::tRNA;tRNA::tRNA-Arg-ACG-2-4;repeat::tRNA	250	73	75	148	126	103	8	165	57	86
148	0	tRNA repeat|tRNA::tRNA-Arg-ACG-1-2;repeat::tRNA	126	69	148	25	10	28	23	37	38	20
149	0	repeat gene|repeat::LTR;gene::LINC00434;repeat::LTR;gene::PHKG2,PHKG2;repeat::LTR;gene::PHKG2,PHKG2	6355	465	1276	1636	815	808	48	2725	1217	1254
150	0	tRNA repeat gene|tRNA::tRNA-Arg-ACG-1-3;repeat::tRNA;gene::LOC101926933	20	9	13	0	0	0	0	0	15	3
151	0	repeat|repeat::LTR	1039	216	506	325	177	88	9	302	163	201
152	0	ncrna gene|ncrna::ACA52;gene::SNORA52,RPLP2	147	54	113	53	20	10	7	0	11	165
153	0	repeat|repeat::LTR	1668	319	2727	1239	617	242	512	367	215	637
154	0	repeat miRNA gene|repeat::LINE,LINE;miRNA::hsa-miR-28-5p,hsa-miR-28-3p;gene::MIR28,LPP,LPP,LPP	1930	123	457	395	161	251	277	240	189	265
155	0	tRNA repeat|tRNA::tRNA-Ala-AGC-8-1;repeat::tRNA	66	37	56	32	28	3	0	27	10	26
156	0	|	48	0	0	7	0	0	0	5	0	160
157	0	ncrna gene|ncrna::U54;gene::SNORD54,RPS20,RPS20	155	93	332	41	19	3	7	0	4	73
158	0	gene|gene::TMEM161B,TMEM161B,TMEM161B,TMEM161B,TMEM161B,TMEM161B,TMEM161B,TMEM161B,TMEM161B	7256	80	198	230	74	16	64	16	65	63
159	0	|	24193	23050	38024	12165	8230	8573	6337	4481	7235	7427
160	0	gene|gene::EEF1A1;gene::AEBP2,AEBP2,AEBP2;gene::AEBP2,AEBP2,AEBP2;gene::C5orf34;gene::C5orf34	37	3	6	11	0	0	10	0	0	52
161	0	tRNA repeat|tRNA::tRNA-Thr-CGT-4-1;repeat::tRNA	182	16	27	77	33	86	25	48	90	72
162	0	tRNA repeat|tRNA::tRNA-Thr-CGT-2-1;repeat::tRNA	126	9	29	25	8	3	0	25	3	11
163	0	gene miRNA|gene::CTDSP1,CTDSP1,CTDSP1,MIR26B;miRNA::hsa-miR-26b-5p,hsa-miR-26b-3p	5280	5451	4892	2106	2535	2177	1492	2717	2477	2436
164	0	ncrna gene|ncrna::U53;gene::SNORD53,WDR43	59	8	22	56	6	8	3	4	3	88
165	0	gene|gene::SNORD53B,WDR43	134	44	120	55	40	11	17	3	9	221
166	0	ncrna gene|ncrna::snR38C;gene::SNHG16,SNHG16,SNHG16,SNORD1C,SNHG16	82	45	106	29	4	9	7	4	3	24
167	0	ncrna gene|ncrna::U75;gene::GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,GAS5,SNORD75	1654	772	1577	377	176	112	441	77	110	363
168	0	ncrna gene|ncrna::snR38A;gene::SNHG16,SNHG16,SNHG16,SNORD1A,SNHG16	415	91	386	110	7	20	204	58	8	185
169	0	gene miRNA|gene::CLCN5,CLCN5,CLCN5,MIR660;miRNA::hsa-miR-660-5p,hsa-miR-660-3p	278	506	473	128	116	133	70	114	114	153
170	0	ncrna gene|ncrna::HBII-429;gene::SNORD100,RPS12	356	203	390	249	58	39	54	35	33	192
171	0	gene|gene::HIST1H3J	7	0	15	27	9	0	3	3	3	10
172	0	ncrna gene|ncrna::E3;gene::SNORA63,EIF4A2	78	242	98	39	65	11	53	8	6	207
173	0	gene miRNA|gene::MIR7974,ZNF653;miRNA::hsa-miR-7974	568	278	788	331	117	227	279	232	396	106
174	0	ncrna gene|ncrna::ACA3-2;gene::SNORA3B,RPL27A	235	47	66	100	36	11	55	20	7	233
175	0	repeat gene|repeat::Simple_repeat;repeat::SINE;gene::TNS3	751	67	144	159	152	56	151	111	72	69
176	0	ncrna gene|ncrna::U71d;gene::SNORA71D,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17	44	16	51	26	16	0	12	3	0	131
