Module	Section	Sample Name	Source
Samtools	stats	ERS185470	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185470/samtools/ERS185470.txt
Samtools	stats	ERS185473	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185473/samtools/ERS185473.txt
Samtools	stats	ERS185400	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185400/samtools/ERS185400.txt
Samtools	stats	ERS185403	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185403/samtools/ERS185403.txt
Samtools	stats	ERS185125	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185125/samtools/ERS185125.txt
Samtools	stats	ERS185102	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185102/samtools/ERS185102.txt
Samtools	idxstats	ERS185102-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185102/samtools/ERS185102-idxstats.txt
Samtools	idxstats	ERS185252-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185252/samtools/ERS185252-idxstats.txt
Samtools	idxstats	ERS185470-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185470/samtools/ERS185470-idxstats.txt
Samtools	idxstats	ERS185082-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185082/samtools/ERS185082-idxstats.txt
Samtools	idxstats	ERS185068-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185068/samtools/ERS185068-idxstats.txt
Samtools	idxstats	ERS185400-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185400/samtools/ERS185400-idxstats.txt
Samtools	idxstats	ERS185403-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185403/samtools/ERS185403-idxstats.txt
Samtools	idxstats	ERS185125-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185125/samtools/ERS185125-idxstats.txt
Samtools	idxstats	ERS185036-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185036/samtools/ERS185036-idxstats.txt
Samtools	idxstats	ERS185473-idxstats	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185473/samtools/ERS185473-idxstats.txt
QualiMap	rna_genome_results	ERS185068	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185068/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185252	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185252/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185082	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185082/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185036	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185036/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185470	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185470/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185473	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185473/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185400	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185400/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185403	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185403/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185125	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185125/qualimap_rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ERS185102	/n/scratch2/hsph_bioinformatic_core/lp113/geuvadis/geu_tiny2/geu_tiny/work/qc/ERS185102/qualimap_rnaseq/rnaseq_qc_results.txt
